episode,season,measure,region,tier,beta
s01e09b,1,rms,rTPJ,some,0.10162541912094217
s01e09b,1,rms,rTPJ,full,0.5486624346471457
s01e09b,1,rms,visual_cortex,some,0.12818340094048564
s01e09b,1,rms,visual_cortex,full,0.38895955217216616
s01e09b,1,rms,auditory_cortex,some,-0.14473077042910185
s01e09b,1,rms,auditory_cortex,full,-0.6437413602271811
s01e09b,1,rms,dorsal_str,some,-0.0394223673396754
s01e09b,1,rms,dorsal_str,full,0.21595781505317363
s01e09b,1,rms,ventral_str,some,0.20616353141348784
s01e09b,1,rms,ventral_str,full,-0.0671243858350258
s01e09b,1,prob,rTPJ,some,0.4728631625987605
s01e09b,1,prob,rTPJ,full,0.1798183173169613
s01e09b,1,prob,visual_cortex,some,0.1308418133797785
s01e09b,1,prob,visual_cortex,full,0.3152256656742284
s01e09b,1,prob,auditory_cortex,some,-0.1747121439361935
s01e09b,1,prob,auditory_cortex,full,-0.4861873247060191
s01e09b,1,prob,dorsal_str,some,0.09076451710986634
s01e09b,1,prob,dorsal_str,full,0.0593927513893868
s01e09b,1,prob,ventral_str,some,0.12404786059645517
s01e09b,1,prob,ventral_str,full,0.06259915820666687
s01e09b,1,humor,rTPJ,some,-0.05062293802074766
s01e09b,1,humor,rTPJ,full,0.5597700071084606
s01e09b,1,humor,visual_cortex,some,0.07293351118198814
s01e09b,1,humor,visual_cortex,full,0.36997620179243096
s01e09b,1,humor,auditory_cortex,some,-0.03204641368296912
